Ward name,Old code,New code,Population - 2015,Children aged 0-15 - 2015,% All Children aged 0-15 - 2015,Area - Square Kilometres,Population density (persons per sq km) - 2013,% children in reception year who are obese - 2011/12 to 2013/14,% children in year 6 who are obese- 2011/12 to 2013/14,In employment (16-64) - 2011,Employment rate (16-64) - 2011,Median House Price (? - 2014,Number of properties sold - 2014,Median Household income estimate (2012/13),Number of Household spaces - 2011,% detached houses - 2011,% semi-detached houses - 2011,% terraced houses - 2011,"% Flat, maisonette or apartment - 2011",% Households Owned - 2011,% Households Social Rented - 2011,% Households Private Rented - 2011,% dwellings in council tax bands A or B - 2015,"% dwellings in council tax bands C, D or E - 2015","% dwellings in council tax bands F, G or H - 2015",Claimant rate of key out-of-work benefits (working age client group) (2014),Claimant Rate of Housing Benefit (2015),Claimant Rate of Employment Support Allowance - 2014,Rate of JobSeekers Allowance (JSA) Claimants - 2015,% dependent children (0-18) in out-of-work households - 2014,% of households with no adults in employment with dependent children - 2011,% of lone parents not in employment - 2011,(ID2010) - Rank of average score (within London) - 2010,(ID2010) % of LSOAs in worst 50% nationally - 2010,Average GCSE capped point scores - 2014,Unauthorised Absence in All Schools (%) - 2013,% with no qualifications - 2011,Crime rate - 2014/15,% area that is open space - 2014,Cars per household - 2011
Merton - Dundonald,00BAGB,E05000459,9650,1800,18.8,1.2,8000.0,,11.9,5683,83.2,565000.0,189,49910.0,4109,2.8,17.0,45.3,34.8,61.5,3.7,33.6,2.9,85.3,11.7,2.8,2.7,1.3,0.7,2.6,1.3,31.2,622.0,0.0,391.6,0.4,7.8,60.4,15.3,0.8
Merton - Figge's Marsh,00BAGC,E05000460,11700,2850,24.5,1.1,10545.5,13.5,27.0,5036,66.3,250000.0,106,30860.0,4363,3.0,13.2,34.4,49.4,46.8,27.3,23.0,28.4,71.6,0.0,13.1,14.9,5.1,4.0,19.1,7.3,42.9,295.0,100.0,315.6,1.4,21.0,78.8,23.0,0.8
Merton - Graveney,00BAGD,E05000461,10100,2000,19.8,0.9,11222.2,12.4,27.2,4981,71.6,388000.0,128,35580.0,3639,6.2,11.7,54.2,27.8,61.8,3.9,32.8,13.4,86.6,0.0,8.3,8.0,6.6,2.5,10.2,3.5,38.8,490.0,16.7,332.9,1.0,15.8,55.6,12.3,0.9
Merton - Hillside,00BAGE,E05000462,9250,1400,15.0,1.2,7708.3,5.1,,5194,79.8,563750.0,168,51480.0,4520,7.2,12.6,10.6,69.5,50.1,9.9,38.4,4.7,58.5,36.8,3.3,4.8,1.5,0.6,2.6,1.3,32.3,609.0,0.0,372.3,0.4,6.4,56.7,5.6,0.8
Merton - Lavender Fields,00BAGF,E05000463,10650,2300,21.4,1.2,8875.0,12.7,25.5,5393,72.6,280000.0,199,33360.0,4107,4.2,17.2,37.4,41.2,47.6,20.4,30.1,15.5,82.2,2.3,9.7,11.8,4.3,2.7,17.2,4.8,37.6,395.0,66.7,301.1,1.6,18.1,57.9,18.6,0.8
Merton - Longthornton,00BAGG,E05000464,10500,2300,21.6,1.5,6966.7,14.6,23.5,4737,69.9,295000.0,171,34350.0,3817,3.8,17.8,57.2,21.2,69.1,10.6,18.2,6.4,93.6,0.0,9.9,8.7,3.7,2.7,11.6,5.1,34.2,445.0,50.0,319.3,1.1,19.1,50.9,36.6,1.0
Merton - Lower Morden,00BAGH,E05000465,9350,1750,18.9,1.8,5194.4,9.3,18.1,4660,78.1,320000.0,142,38730.0,3507,1.5,21.9,56.7,19.9,84.4,4.1,10.3,0.9,94.6,4.6,6.9,3.5,2.3,1.0,6.5,2.1,30.6,571.0,0.0,334.7,1.1,20.9,33.1,34.0,1.3
Merton - Merton Park,00BAGJ,E05000466,9750,1950,19.9,1.8,5444.4,4.7,11.5,4702,75.2,522500.0,155,46300.0,3769,6.4,31.7,32.6,29.4,72.2,3.9,22.7,8.1,61.4,30.4,4.6,4.2,1.8,1.1,4.5,2.0,35.9,604.0,0.0,380.7,0.4,11.5,54.8,18.8,1.0
Merton - Pollards Hill,00BAGK,E05000467,10800,2550,23.7,2.2,4863.6,10.9,26.2,4560,67.8,288000.0,86,31940.0,3786,4.3,21.2,52.8,21.7,61.3,24.1,13.1,16.7,83.3,0.0,14.4,12.4,4.8,3.7,17.8,7.0,37.9,365.0,57.1,313.0,1.2,21.7,60.2,52.8,1.0
Merton - Ravensbury,00BAGL,E05000468,10250,2250,21.7,1.8,5694.4,12.4,24.2,4489,69.0,285000.0,117,32330.0,3864,7.2,23.3,39.9,29.7,55.6,25.1,18.2,12.7,85.6,1.8,13.6,12.3,5.2,3.5,19.6,5.7,42.4,309.0,83.3,312.6,1.4,23.7,63.7,37.8,0.9
Merton - Raynes Park,00BAGM,E05000469,10000,2050,20.5,1.9,5263.2,2.0,11.8,5072,77.6,499500.0,191,49340.0,4325,10.2,24.0,16.0,49.8,61.9,10.7,26.2,9.6,54.9,35.4,5.6,6.2,2.3,1.2,7.4,2.1,38.9,585.0,16.7,341.0,0.4,9.7,43.9,24.4,1.0
Merton - St. Helier,00BAGN,E05000470,10650,2350,22.0,1.8,5944.4,11.9,21.8,4703,69.4,280000.0,149,32530.0,4040,3.2,18.8,52.8,25.1,53.3,31.0,13.7,8.5,91.1,0.5,13.0,12.9,5.3,2.4,17.1,5.8,45.8,323.0,83.3,329.6,1.2,23.7,51.4,41.6,0.9
Merton - Trinity,00BAGP,E05000471,10000,2050,20.5,1.1,9136.4,6.4,17.1,5925,80.7,497000.0,197,47380.0,4395,2.0,13.5,32.9,51.6,52.9,11.9,33.5,5.4,78.2,16.3,6.4,7.3,3.0,1.5,8.3,2.0,32.8,563.0,16.7,342.7,0.8,9.2,83.9,15.7,0.8
