Ward name,Old code,New code,Population - 2015,Children aged 0-15 - 2015,% All Children aged 0-15 - 2015,Area - Square Kilometres,Population density (persons per sq km) - 2013,% children in reception year who are obese - 2011/12 to 2013/14,% children in year 6 who are obese- 2011/12 to 2013/14,In employment (16-64) - 2011,Employment rate (16-64) - 2011,Median House Price (? - 2014,Number of properties sold - 2014,Median Household income estimate (2012/13),Number of Household spaces - 2011,% detached houses - 2011,% semi-detached houses - 2011,% terraced houses - 2011,"% Flat, maisonette or apartment - 2011",% Households Owned - 2011,% Households Social Rented - 2011,% Households Private Rented - 2011,% dwellings in council tax bands A or B - 2015,"% dwellings in council tax bands C, D or E - 2015","% dwellings in council tax bands F, G or H - 2015",Claimant rate of key out-of-work benefits (working age client group) (2014),Claimant Rate of Housing Benefit (2015),Claimant Rate of Employment Support Allowance - 2014,Rate of JobSeekers Allowance (JSA) Claimants - 2015,% dependent children (0-18) in out-of-work households - 2014,% of households with no adults in employment with dependent children - 2011,% of lone parents not in employment - 2011,(ID2010) - Rank of average score (within London) - 2010,(ID2010) % of LSOAs in worst 50% nationally - 2010,Average GCSE capped point scores - 2014,Unauthorised Absence in All Schools (%) - 2013,% with no qualifications - 2011,Crime rate - 2014/15,% area that is open space - 2014,Cars per household - 2011
Hammersmith and Fulham - Wormholt and White City,00ANGR,E05000265,13750,2950,21.5,0.9,14944.4,10.5,28.2,5694,62.2,427500.0,142,31860.0,5126,1.9,10.0,19.3,68.8,26.0,52.3,18.6,40.4,51.7,7.9,19.6,19.9,6.8,6.1,29.9,11.1,54.8,120.0,100.0,308.5,1.3,21.5,71.9,4.6,0.5
Haringey - Alexandra,00APGA,E05000266,12050,2450,20.4,2.6,4596.2,4.5,9.9,6189,76.7,625000.0,177,51450.0,4695,2.9,17.2,30.4,49.5,65.7,9.0,24.3,3.5,51.2,45.3,6.8,5.4,2.3,1.4,5.8,2.7,33.5,414.0,57.1,382.0,0.6,8.0,63.6,52.2,1.0
Haringey - Bounds Green,00APGB,E05000267,14400,2550,17.6,1.4,10035.7,10.6,22.8,6822,69.0,332350.0,162,34550.0,5917,3.2,11.3,19.6,65.9,35.3,28.4,32.7,22.8,72.3,5.0,16.5,17.6,5.6,3.1,19.0,7.1,47.6,159.0,100.0,335.0,1.4,17.3,82.0,22.8,0.6
Haringey - Bruce Grove,00APGC,E05000268,15050,3250,21.7,0.9,16388.9,14.8,26.4,6192,61.8,325000.0,159,30340.0,5912,5.1,7.4,34.4,53.1,35.9,28.2,32.2,35.6,64.4,0.0,21.5,22.1,6.6,6.2,24.9,9.9,46.1,30.0,100.0,298.7,1.9,22.5,85.2,4.9,0.5
Haringey - Crouch End,00APGD,E05000269,12800,2050,16.2,1.4,8964.3,2.4,11.6,7537,80.9,563750.0,212,52070.0,5980,2.3,7.8,14.4,75.5,50.6,10.2,37.3,14.4,63.6,22.0,6.1,7.4,2.4,1.4,5.3,1.6,26.9,381.0,85.7,366.3,0.7,6.4,67.3,13.9,0.7
Haringey - Fortis Green,00APGE,E05000270,13000,2500,19.4,2.0,6400.0,4.6,9.2,6423,75.9,465000.0,197,49950.0,5289,5.7,18.4,22.9,53.0,53.6,11.2,33.2,4.6,62.3,33.1,7.8,7.6,2.9,1.3,7.5,3.1,34.3,420.0,57.1,375.2,0.8,9.2,57.9,24.0,0.9
Haringey - Harringay,00APGF,E05000271,14100,2150,15.1,1.6,8562.5,7.8,25.9,7404,71.8,430000.0,170,37150.0,6044,2.3,6.3,25.0,66.2,38.1,13.9,45.6,30.8,63.4,5.8,16.0,14.1,4.9,3.3,21.8,4.9,46.4,111.0,100.0,302.8,1.5,14.0,89.5,45.4,0.5
Haringey - Highgate,00APGG,E05000272,12100,1800,14.8,2.5,4740.0,3.8,14.9,6704,79.0,732500.0,200,53710.0,5481,6.9,8.6,16.7,67.8,49.4,11.1,37.4,5.9,60.9,33.1,7.7,7.0,5.2,1.8,6.8,2.4,41.0,424.0,57.1,315.8,1.3,6.4,56.6,41.8,0.8
Haringey - Hornsey,00APGH,E05000273,13100,2300,17.7,1.1,11727.3,8.2,17.2,6753,72.4,419000.0,206,40260.0,5851,1.4,4.2,23.6,70.8,39.8,29.5,27.9,19.2,72.6,8.3,15.3,15.5,5.4,3.6,20.6,6.0,47.6,155.0,100.0,329.4,1.1,13.8,67.2,10.0,0.6
Haringey - Muswell Hill,00APGJ,E05000274,11050,1900,16.9,1.7,6411.8,2.7,10.2,5922,78.4,820000.0,132,53910.0,4622,2.6,14.1,29.8,53.6,58.5,9.4,30.5,8.3,58.9,32.8,6.3,5.8,2.5,1.2,4.7,2.2,31.5,400.0,57.1,374.5,0.8,8.3,71.7,30.7,0.9
Haringey - Noel Park,00APGK,E05000275,14700,2600,17.8,1.2,11958.3,14.2,31.3,6382,63.2,350000.0,125,30620.0,5651,5.7,7.8,36.4,50.1,28.2,38.2,29.3,21.4,76.9,1.8,21.2,18.5,6.9,4.4,25.6,9.8,54.4,25.0,100.0,302.1,1.9,20.8,200.7,11.5,0.5
Haringey - Northumberland Park,00APGL,E05000276,15150,3800,25.1,1.9,7763.2,17.2,30.5,4914,52.3,252500.0,68,25090.0,5908,4.6,8.2,20.5,66.3,20.5,48.6,25.5,48.7,50.8,0.5,29.5,32.8,9.4,9.0,25.8,14.8,58.1,1.0,100.0,292.8,1.5,29.2,130.5,23.0,0.5
Haringey - St. Ann's,00APGM,E05000277,16100,2850,17.6,1.1,14000.0,11.1,27.6,7038,65.6,370000.0,147,32460.0,5593,4.4,6.4,34.5,54.7,37.7,23.6,35.6,33.3,66.3,0.4,16.7,15.0,5.0,3.6,21.6,6.4,44.8,46.0,100.0,304.7,1.9,20.4,71.0,20.0,0.5
Haringey - Seven Sisters,00APGN,E05000278,16650,4200,25.3,1.3,12500.0,10.7,28.6,6671,63.7,372500.0,82,33500.0,5876,4.8,7.3,32.2,55.8,31.2,31.8,33.1,34.1,63.5,2.4,17.9,21.1,5.5,3.8,15.2,8.1,53.7,99.0,100.0,319.6,1.4,24.4,80.0,21.8,0.5
Haringey - Stroud Green,00APGP,E05000279,12250,1900,15.5,1.1,10909.1,5.8,18.1,6982,77.3,477500.0,168,44780.0,5606,1.2,4.3,18.4,76.2,43.5,22.9,31.9,19.7,63.7,16.7,12.4,11.2,4.7,2.6,15.2,4.1,44.6,249.0,100.0,335.0,1.2,10.1,54.0,24.7,0.6
Haringey - Tottenham Green,00APGQ,E05000280,15900,3300,20.7,1.4,10928.6,13.9,28.5,6379,61.3,326500.0,111,28920.0,6141,4.8,9.0,26.5,59.6,26.8,39.2,30.0,40.4,58.9,0.8,21.9,24.0,6.7,5.1,26.6,9.3,49.7,16.0,100.0,292.4,1.6,22.7,134.5,10.5,0.4
Haringey - Tottenham Hale,00APGR,E05000281,17300,3850,22.2,1.9,8552.6,16.5,28.8,5816,56.3,251500.0,136,27340.0,5546,7.0,8.8,29.9,54.4,31.2,39.2,26.3,32.3,67.7,0.0,22.9,21.3,6.1,5.4,28.1,12.4,49.8,28.0,100.0,300.9,1.5,24.7,103.7,29.0,0.5
Haringey - West Green,00APGS,E05000282,14050,2550,18.3,1.4,9821.4,13.8,26.6,5989,63.3,350000.0,129,31110.0,5406,4.4,7.3,30.7,57.6,33.7,36.0,27.7,38.7,60.2,1.1,19.8,19.4,6.8,4.5,24.1,8.2,50.2,52.0,100.0,309.4,1.4,23.9,80.4,38.2,0.5
Haringey - White Hart Lane,00APGT,E05000283,13950,3350,23.9,1.7,8058.8,16.2,26.9,4726,54.8,267000.0,90,27010.0,4906,7.6,20.2,43.4,28.8,29.8,48.7,18.4,13.3,86.7,0.0,22.9,25.3,8.3,5.0,27.0,14.6,52.8,7.0,100.0,314.8,1.7,30.0,82.1,27.9,0.6
Haringey - Woodside,00APGU,E05000284,15400,2800,18.3,1.5,10000.0,12.0,23.5,6992,66.6,345000.0,169,32010.0,5675,4.6,10.0,31.0,54.4,37.6,23.2,36.4,17.7,80.1,2.3,16.9,16.5,4.8,3.5,22.2,7.9,55.3,89.0,100.0,300.6,1.7,20.0,84.2,26.8,0.6
Harrow - Belmont,00AQFY,E05000285,11650,2350,20.4,1.8,6444.4,7.1,15.9,5355,71.8,435000.0,94,42380.0,3736,11.6,76.2,3.5,8.7,81.6,3.7,13.2,1.6,80.4,18.0,7.0,4.8,2.1,1.2,6.6,3.1,32.0,557.0,0.0,356.1,0.6,15.1,35.3,11.0,1.5
Harrow - Canons,00AQFZ,E05000286,13500,2600,19.3,5.6,2339.3,13.1,20.0,5566,71.9,402500.0,209,39890.0,5048,22.0,28.7,4.8,44.5,66.5,10.2,20.4,5.5,59.3,35.1,8.8,8.8,3.1,1.4,7.9,3.5,46.4,524.0,0.0,340.9,0.7,17.8,42.1,57.3,1.3
Harrow - Edgware,00AQGA,E05000287,12050,2550,21.1,1.4,8571.4,11.3,20.6,5458,68.6,357500.0,96,33600.0,3804,3.8,58.3,15.8,22.1,63.5,10.3,24.2,4.1,93.8,2.1,9.3,9.2,4.6,1.7,10.2,5.9,49.4,417.0,57.1,334.2,0.7,22.5,52.6,14.9,1.1
Harrow - Greenhill,00AQGB,E05000288,13100,2500,19.1,1.7,7617.6,10.9,20.5,6427,71.1,272000.0,167,37550.0,5135,4.7,18.6,11.5,65.1,42.9,11.4,42.5,5.5,85.5,9.0,11.1,11.8,4.1,2.5,14.6,4.1,47.9,382.0,66.7,318.2,1.0,11.7,129.9,7.7,0.8
Harrow - Harrow on the Hill,00AQGC,E05000289,12850,2800,21.9,3.6,3527.8,9.8,23.0,5651,68.2,343000.0,184,39630.0,4791,10.4,18.7,19.5,51.5,52.7,13.8,28.8,9.4,69.0,21.7,8.7,10.0,3.4,1.9,8.1,4.1,43.8,470.0,28.6,343.2,0.8,13.3,57.3,43.4,1.0
Harrow - Harrow Weald,00AQGD,E05000290,11650,2200,19.0,4.6,2532.6,12.7,20.5,4964,69.1,384000.0,111,36940.0,4285,17.3,46.7,14.8,21.1,68.4,15.9,13.7,6.0,74.5,19.5,11.0,10.0,4.2,1.9,14.4,5.3,42.7,405.0,57.1,323.9,1.2,19.4,47.0,56.3,1.3
Harrow - Hatch End,00AQGE,E05000291,10950,2050,18.6,3.3,3303.0,6.8,22.3,4812,73.2,500000.0,153,42350.0,4108,31.3,32.6,9.5,26.7,74.9,8.5,14.6,2.7,45.6,51.7,7.5,5.4,2.4,1.3,8.6,2.9,40.1,553.0,14.3,351.3,0.8,15.4,41.5,31.0,1.4
Harrow - Headstone North,00AQGF,E05000292,10400,1800,17.2,3.3,3136.4,4.8,17.0,4873,73.8,427500.0,100,44470.0,3651,12.7,63.2,7.2,16.8,80.5,4.0,13.3,0.8,72.7,26.5,6.1,4.1,2.0,1.0,5.6,2.0,36.7,602.0,0.0,359.5,0.5,12.9,40.9,49.5,1.4
Harrow - Headstone South,00AQGG,E05000293,11600,2350,20.4,1.5,7666.7,8.1,20.1,5406,71.7,322500.0,135,39090.0,4154,5.4,36.6,20.4,37.5,65.4,7.2,25.1,2.1,91.1,6.8,9.2,8.2,3.0,2.0,9.8,4.4,44.5,517.0,0.0,351.0,0.6,13.1,39.7,14.4,1.1
Harrow - Kenton East,00AQGH,E05000294,11500,2150,18.5,1.3,8846.2,11.6,22.3,5251,68.5,380000.0,56,32880.0,3515,4.3,35.2,42.8,17.6,61.3,14.8,21.1,0.8,98.0,1.1,8.9,8.5,3.2,2.0,11.6,5.3,39.9,411.0,57.1,337.0,0.7,23.4,33.5,7.2,1.2
Harrow - Kenton West,00AQGJ,E05000295,11550,2000,17.3,1.8,6388.9,10.4,21.8,5430,71.6,434475.0,66,38400.0,3450,2.8,66.6,19.7,11.0,78.5,3.0,16.0,1.4,89.5,9.1,7.0,4.4,2.2,1.3,6.2,2.6,30.1,526.0,0.0,342.1,0.7,17.9,40.0,17.9,1.4
Harrow - Marlborough,00AQGK,E05000296,13000,2900,22.4,1.6,8000.0,10.9,24.2,5758,68.4,268950.0,157,34450.0,4422,4.8,30.6,20.5,44.1,55.0,11.1,30.8,10.1,85.6,4.3,13.2,12.1,3.9,2.2,16.2,6.3,47.8,377.0,66.7,322.8,0.9,17.1,60.9,8.3,0.9
Harrow - Pinner,00AQGL,E05000297,10300,1850,18.0,3.3,3106.1,10.4,12.8,4466,71.8,400000.0,166,43950.0,4210,32.8,20.9,9.5,36.8,68.7,14.6,14.8,3.5,52.7,43.8,8.2,7.3,3.1,1.4,8.9,3.4,42.9,508.0,33.3,332.3,0.8,14.7,44.7,28.6,1.3
Harrow - Pinner South,00AQGM,E05000298,10650,2200,20.8,2.4,4416.7,6.4,15.2,4833,75.2,520000.0,131,49420.0,4011,24.0,46.0,8.6,21.4,81.5,6.7,10.5,1.5,57.1,41.4,5.5,4.1,2.1,1.1,3.9,2.5,33.0,611.0,0.0,368.6,0.3,11.4,24.5,22.2,1.4
Harrow - Queensbury,00AQGN,E05000299,12350,2600,21.3,1.6,7687.5,10.5,23.8,5490,68.1,390000.0,81,35030.0,3709,4.4,59.8,16.8,19.0,68.8,3.9,25.6,2.2,95.6,2.2,8.3,7.2,4.4,1.4,11.3,4.8,41.3,468.0,14.3,331.6,0.6,20.8,37.4,23.3,1.2
Harrow - Rayners Lane,00AQGP,E05000300,11450,2350,20.6,1.5,7600.0,6.0,17.9,5206,71.5,380000.0,123,40310.0,3762,7.0,37.9,38.6,16.4,74.7,2.2,22.0,5.5,86.2,8.3,6.4,5.6,2.3,1.2,4.8,2.9,35.8,567.0,0.0,349.8,0.8,13.7,33.5,10.7,1.3
Harrow - Roxbourne,00AQGQ,E05000301,13150,3200,24.5,1.5,8733.3,9.5,22.7,5469,64.8,290000.0,155,32130.0,4627,3.6,20.7,37.6,38.0,48.0,25.4,23.7,9.3,89.6,1.0,12.5,16.1,5.1,2.4,14.8,7.6,49.2,329.0,85.7,321.0,0.9,19.2,53.1,15.3,1.0
Harrow - Roxeth,00AQGR,E05000302,12000,2650,22.2,1.6,7468.8,9.7,22.3,5288,68.6,355000.0,99,35110.0,3892,4.4,49.4,25.2,20.9,66.2,9.5,22.5,2.8,97.0,0.3,8.9,10.0,3.2,2.1,10.5,4.7,42.6,456.0,42.9,335.3,0.8,17.3,64.1,18.4,1.2
Harrow - Stanmore Park,00AQGS,E05000303,11450,2000,17.5,4.5,2544.4,9.3,15.9,4637,68.6,555000.0,196,39210.0,4541,25.3,25.9,13.9,34.8,65.8,15.0,16.9,5.5,53.7,40.8,11.8,8.3,4.1,1.2,14.7,4.3,50.0,426.0,33.3,313.1,1.0,19.7,53.3,45.8,1.4
Harrow - Wealdstone,00AQGT,E05000304,11700,2800,23.8,1.2,9708.3,11.8,23.3,4869,65.1,310000.0,125,32080.0,4020,4.5,28.8,34.7,32.1,55.3,15.1,26.9,6.6,92.7,0.7,14.6,14.6,4.8,2.8,13.7,6.8,46.9,316.0,100.0,314.7,1.2,20.9,54.5,3.3,1.0
Harrow - West Harrow,00AQGU,E05000305,10700,2150,19.9,1.5,7066.7,7.3,20.6,4949,71.5,363500.0,95,40210.0,3796,5.6,48.1,19.9,26.4,66.0,9.6,22.0,2.1,91.8,6.2,9.6,8.0,3.7,2.2,10.4,4.3,43.0,487.0,33.3,357.0,0.7,13.4,31.2,19.7,1.1
Havering - Brooklands,00ARGC,E05000306,17100,3850,22.4,4.2,3785.7,8.0,21.9,7118,72.7,207500.0,326,35250.0,6234,4.5,30.7,32.6,32.2,63.5,17.4,17.1,18.5,81.1,0.4,13.5,11.1,4.2,2.5,16.6,6.2,49.1,394.0,66.7,307.3,1.0,24.9,71.9,44.9,1.0
Havering - Cranham,00ARGD,E05000307,12650,2150,16.8,6.6,1901.5,9.0,19.0,5608,75.6,320000.0,216,42250.0,5275,15.2,49.5,21.7,13.6,87.9,4.8,6.3,5.6,75.3,19.1,6.3,2.6,2.1,0.9,7.3,1.9,32.3,610.0,0.0,336.5,0.6,22.2,32.3,55.9,1.3
Havering - Elm Park,00ARGE,E05000308,12700,2350,18.5,3.7,3391.9,11.0,23.4,5738,73.4,250000.0,224,34730.0,5205,2.2,38.9,40.9,17.9,75.2,15.1,8.4,15.4,83.7,0.9,11.4,8.3,3.5,2.4,15.3,4.3,42.4,453.0,37.5,321.9,1.1,29.6,39.4,55.7,1.1
Havering - Emerson Park,00ARGF,E05000309,12100,1850,15.3,4.6,2608.7,10.5,19.6,5549,74.3,365000.0,191,43790.0,4690,39.7,37.7,11.6,11.0,89.2,3.9,6.0,4.8,54.4,40.8,6.6,2.2,1.9,1.0,6.1,1.5,33.0,580.0,0.0,351.8,0.5,23.1,36.3,31.3,1.6
Havering - Gooshays,00ARGG,E05000310,15400,3600,23.5,7.8,1916.7,14.3,21.9,5909,63.0,229000.0,210,29400.0,6100,3.7,30.0,38.3,27.9,48.6,41.9,7.6,33.4,65.5,1.1,19.5,18.2,6.9,4.1,26.2,9.1,54.8,144.0,100.0,284.4,1.6,34.2,79.9,68.4,1.0
Havering - Hacton,00ARGH,E05000311,12600,2000,15.9,2.5,4960.0,12.1,16.7,5919,75.7,296500.0,181,39740.0,5052,4.0,71.3,13.9,10.8,86.9,4.4,8.0,5.5,89.1,5.3,7.3,2.7,2.2,1.3,6.7,2.4,37.1,572.0,12.5,340.8,0.5,25.3,26.1,24.2,1.3
Havering - Harold Wood,00ARGJ,E05000312,13750,2550,18.6,7.6,1730.3,7.7,17.1,5946,72.2,250000.0,303,37010.0,5628,10.2,44.5,23.4,21.9,71.7,16.0,11.3,13.4,82.1,4.5,11.0,8.5,3.7,1.9,13.9,3.4,40.1,437.0,25.0,292.3,0.9,25.8,67.8,60.7,1.2
Havering - Havering Park,00ARGK,E05000313,13200,2700,20.5,9.8,1326.5,9.7,22.2,5645,69.1,250000.0,180,33590.0,5181,8.4,46.1,24.9,20.5,70.1,20.6,7.6,19.4,77.2,3.4,14.8,9.8,4.8,3.2,19.9,6.4,48.2,354.0,62.5,290.8,1.4,30.4,45.7,75.2,1.3
Havering - Heaton,00ARGL,E05000314,13200,2900,22.1,3.4,3779.4,12.8,24.8,4946,64.3,217000.0,204,29560.0,5395,5.8,24.2,42.6,24.1,53.3,37.1,8.1,29.0,70.1,0.9,19.0,17.7,6.5,4.0,23.2,7.2,50.4,176.0,100.0,298.5,1.4,35.8,68.2,45.3,1.0
Havering - Hylands,00ARGM,E05000315,13150,2100,15.9,2.9,4500.0,3.9,16.8,6483,75.6,275000.0,250,39890.0,5075,13.2,38.4,37.9,10.5,84.6,7.2,7.3,8.9,81.4,9.7,7.5,4.1,2.4,1.3,8.3,2.3,33.0,551.0,12.5,340.6,0.6,23.7,55.8,26.1,1.4
Havering - Mawneys,00ARGN,E05000316,13100,2550,19.4,3.0,4316.7,10.6,21.8,5907,73.2,250000.0,221,35820.0,5381,7.7,37.2,37.7,17.5,77.6,11.4,9.6,16.9,82.0,1.1,10.5,6.8,3.5,2.0,13.6,4.6,44.6,450.0,25.0,313.1,1.1,29.6,52.2,32.1,1.2
Havering - Pettits,00ARGP,E05000317,13050,2200,17.0,4.0,3237.5,9.7,11.6,6030,74.9,295000.0,170,40010.0,5239,16.2,53.5,19.2,11.0,87.5,5.4,6.4,8.7,72.1,19.2,7.6,3.2,2.2,1.2,8.9,2.3,36.9,558.0,11.1,321.5,0.7,25.7,40.8,32.4,1.4
Havering - Rainham and Wennington,00ARGQ,E05000318,13150,2500,18.9,16.9,754.4,13.6,24.0,5738,72.4,240000.0,217,34470.0,5092,17.5,37.0,30.3,15.1,76.8,8.9,13.2,14.7,80.9,4.3,11.9,7.5,3.7,2.2,17.6,5.1,45.5,441.0,37.5,304.2,0.8,29.8,74.1,79.0,1.3
Havering - Romford Town,00ARGR,E05000319,18700,3650,19.6,2.9,5931.0,10.2,21.0,8096,74.4,225000.0,346,37160.0,7398,6.2,28.5,19.4,45.9,60.6,13.0,23.5,19.6,73.5,6.9,11.9,10.0,3.9,2.4,16.9,4.1,44.4,406.0,44.4,314.2,0.8,21.0,167.9,8.1,0.9
Havering - St. Andrew's,00ARGS,E05000320,13650,2300,16.7,2.7,4981.5,11.5,18.5,6366,76.1,272500.0,235,38130.0,5833,6.7,46.4,17.3,29.5,74.6,11.3,12.6,15.8,78.6,5.6,8.9,6.6,2.7,1.4,10.9,2.6,34.2,514.0,22.2,328.0,0.7,26.2,65.2,18.7,1.2
Havering - South Hornchurch,00ARGT,E05000321,16550,3600,21.6,6.8,2198.5,11.3,23.1,5953,70.5,242000.0,195,33160.0,5594,12.1,26.8,36.2,24.7,69.9,19.8,9.1,22.0,76.9,1.0,14.7,9.6,4.2,3.1,17.7,6.0,48.1,342.0,62.5,304.6,1.0,31.4,56.7,45.1,1.2
Havering - Squirrel's Heath,00ARGU,E05000322,13400,2450,18.1,2.6,5096.2,10.4,22.7,6722,77.3,280250.0,266,41740.0,5701,15.3,34.9,19.2,30.5,74.9,8.8,14.5,12.7,68.7,18.7,8.7,6.2,2.6,1.5,9.3,3.2,42.7,556.0,12.5,334.7,0.6,20.0,40.8,16.7,1.3
Havering - Upminster,00ARGW,E05000323,12950,2000,15.4,22.5,571.1,6.8,13.5,5951,76.4,420000.0,194,47580.0,5217,15.2,67.4,5.8,11.5,89.2,1.9,7.9,3.9,58.8,37.2,4.7,1.5,1.4,0.8,3.6,1.3,25.6,625.0,0.0,352.1,0.4,19.0,49.7,82.0,1.4
Hillingdon - Barnhill,00ASGG,E05000324,14050,3450,24.7,2.1,6595.2,11.5,27.1,5775,65.0,250000.0,84,31800.0,4431,4.0,46.2,23.4,26.4,57.3,19.2,20.5,6.7,93.0,0.2,12.3,12.2,5.6,3.1,15.9,8.6,53.1,289.0,100.0,317.1,1.1,22.4,81.6,27.7,1.2
Hillingdon - Botwell,00ASGH,E05000325,15950,4200,26.5,4.4,3545.5,9.8,22.6,6346,64.0,250000.0,162,30700.0,5085,6.2,45.2,20.6,27.9,50.8,25.2,19.9,11.6,87.3,1.2,14.4,15.9,5.1,3.4,18.1,9.3,52.5,233.0,100.0,312.1,1.2,24.0,96.5,32.2,1.1
Hillingdon - Brunel,00ASGJ,E05000326,14750,2350,15.9,3.3,4424.2,10.3,17.9,5848,57.5,273750.0,160,34630.0,4620,17.1,32.0,21.8,29.2,55.3,22.0,20.9,3.8,87.0,9.1,11.3,8.1,3.2,1.8,15.2,5.7,43.9,361.0,57.1,294.2,1.3,17.6,96.8,40.5,1.1
Hillingdon - Cavendish,00ASGK,E05000327,12100,2400,19.8,2.0,6000.0,6.4,16.7,5755,77.6,400000.0,149,43970.0,4539,10.2,54.0,22.7,13.1,82.2,7.3,9.4,0.0,89.7,10.3,6.3,4.1,2.2,1.0,6.8,2.7,31.6,578.0,0.0,347.0,0.4,17.2,33.8,17.7,1.4
Hillingdon - Charville,00ASGL,E05000328,13200,3000,22.7,3.0,4350.0,11.3,20.8,5794,71.0,275000.0,130,35410.0,4487,4.7,59.5,17.8,18.0,71.1,9.7,15.9,6.6,92.5,0.9,10.0,9.1,3.9,2.2,12.8,6.0,45.5,422.0,37.5,334.0,0.9,21.6,52.6,44.9,1.3
Hillingdon - Eastcote and East Ruislip,00ASGM,E05000329,12600,2150,17.2,4.1,3048.8,5.9,12.1,5804,76.8,500000.0,201,47380.0,4875,36.6,38.7,8.4,16.3,83.8,7.2,8.2,0.4,44.8,54.8,6.5,3.7,2.0,0.6,5.8,1.6,30.0,598.0,12.5,350.9,0.4,13.6,41.9,33.4,1.5
Hillingdon - Harefield,00ASGN,E05000330,7750,1550,19.7,15.2,500.0,10.0,18.5,3571,75.7,310000.0,113,37990.0,3132,15.4,37.9,23.8,22.7,64.2,24.0,10.2,5.3,77.7,17.0,10.9,8.8,4.3,0.9,14.3,3.7,40.1,385.0,80.0,306.9,1.0,23.8,64.3,85.5,1.4
Hillingdon - Heathrow Villages,00ASGP,E05000331,13250,3050,23.2,23.5,546.8,12.8,23.2,6107,71.7,209000.0,97,33170.0,4704,7.0,34.1,21.3,37.4,49.6,14.8,33.6,12.8,85.3,1.9,11.4,10.9,3.7,1.8,16.3,6.7,48.8,315.0,100.0,319.9,1.3,19.2,272.2,29.5,1.1
Hillingdon - Hillingdon East,00ASGQ,E05000332,13700,3100,22.5,3.6,3722.2,9.0,19.6,6074,72.4,311000.0,182,37250.0,4661,5.9,34.2,45.1,14.7,68.7,14.8,14.6,4.9,93.0,2.1,10.0,8.0,3.4,1.4,12.4,5.6,41.2,432.0,50.0,326.5,0.7,19.3,55.8,48.2,1.3
Hillingdon - Ickenham,00ASGR,E05000333,10750,1900,17.6,6.2,1725.8,7.0,13.3,4884,76.6,521000.0,143,48770.0,4059,45.3,40.3,5.0,9.4,86.0,4.4,8.8,0.7,43.0,56.2,5.3,2.5,1.8,0.4,4.3,1.4,24.4,612.0,0.0,366.8,0.3,14.6,33.2,55.7,1.6
Hillingdon - Manor,00ASGS,E05000334,11900,2400,20.1,2.0,5875.0,9.3,14.9,5903,80.5,372500.0,206,43460.0,4635,9.8,25.8,45.7,18.6,80.9,4.1,13.3,0.4,88.9,10.7,5.8,3.7,1.9,0.9,7.9,2.3,30.8,576.0,0.0,350.7,0.5,17.0,38.8,18.1,1.3
Hillingdon - Northwood,00ASGT,E05000335,10850,1750,16.1,7.4,1452.7,4.1,13.9,4860,73.3,470000.0,192,46550.0,4924,29.7,12.1,14.3,43.8,64.1,14.2,19.8,6.8,49.3,43.9,7.4,7.8,3.3,1.3,5.8,2.3,41.8,542.0,0.0,338.6,0.7,13.3,46.3,61.0,1.3
Hillingdon - Northwood Hills,00ASGU,E05000336,12050,2250,18.9,3.3,3606.1,8.3,20.6,5475,74.3,413500.0,171,43320.0,4847,26.4,31.1,12.9,29.6,67.0,15.5,16.1,2.6,73.8,23.6,9.2,8.2,3.6,1.5,8.4,3.1,37.0,480.0,42.9,332.4,0.6,16.6,53.9,33.3,1.3
Hillingdon - Pinkwell,00ASGW,E05000337,15750,4150,26.2,2.7,5703.7,9.8,23.2,6417,66.8,280000.0,107,31830.0,4737,6.0,47.5,27.3,19.1,57.7,20.4,19.9,8.7,91.1,0.2,12.2,11.1,4.2,3.0,14.8,8.7,51.3,263.0,100.0,326.1,1.3,22.0,73.6,26.9,1.2
Hillingdon - South Ruislip,00ASGX,E05000338,12950,2650,20.7,7.4,1723.0,9.3,19.3,6448,77.5,305000.0,207,40060.0,4802,7.8,38.0,27.6,26.6,69.4,10.1,19.0,1.2,94.7,4.1,8.7,6.7,2.6,1.3,10.8,4.2,39.0,452.0,57.1,327.5,0.7,18.3,64.8,62.8,1.2
Hillingdon - Townfield,00ASGY,E05000339,14900,3550,24.0,3.5,4171.4,10.9,23.0,5977,63.2,280000.0,131,30430.0,4756,4.9,38.8,23.7,32.6,45.3,30.1,21.5,10.3,88.5,1.1,14.5,15.9,5.2,3.4,19.9,9.3,55.1,209.0,100.0,308.6,1.2,24.7,131.2,30.9,1.0
Hillingdon - Uxbridge North,00ASGZ,E05000340,13100,2400,18.4,4.6,2771.7,7.4,14.6,5903,74.0,349950.0,287,41470.0,5132,30.1,28.5,15.1,26.2,67.3,12.7,18.2,4.3,66.8,28.9,8.1,6.9,3.1,1.4,8.8,2.7,37.2,493.0,37.5,345.0,0.7,16.8,100.6,34.4,1.3
Hillingdon - Uxbridge South,00ASHA,E05000341,15000,2050,13.6,3.1,4758.1,12.3,20.9,6133,56.8,259000.0,164,34270.0,5119,7.8,30.3,20.7,40.6,49.5,22.2,25.4,10.6,81.3,8.1,11.1,8.9,3.9,1.8,19.1,4.7,47.1,363.0,62.5,309.2,1.1,14.1,103.3,25.9,1.0
