Ward name,Old code,New code,Population,Children_0-15 ,Children_0-15 %,Area - Square,Population_density, children_obese%, children_obese_year6,Employment_rate ,House_Price,Household_income,no_qualifications%,Crime_rate %,open_space% ,Cars_per_household 
Camden - Cantelowes,00AGGG,E05000131,12450,1850,14.8,0.8,15375,9,20.3,64.3,560000,39060,13.9,82.5,7.4,0.4
Camden - Fortune Green,00AGGH,E05000132,12100,1850,15.2,1,12000,3.5,20.6,74.6,575000,46800,9.2,54.2,18.4,0.6
Camden - Frognal and Fitzjohns,00AGGJ,E05000133,12250,2000,16.3,1.5,8133.3,,,69.8,955000,60310,6.1,56.7,5.7,0.8
Camden - Gospel Oak,00AGGK,E05000134,11500,2100,18.4,0.7,16357.1,10.7,23.4,65.5,599999,39990,17.8,65.8,15.9,0.5
Camden - Hampstead Town,00AGGL,E05000135,11400,1950,17.3,2.5,4540,,,76.6,1190000,62840,6.1,82.9,53.9,0.7
Camden - Haverstock,00AGGM,E05000136,12750,2400,18.7,0.7,18000,12,25.9,62.9,547305,35730,18.6,87.6,8.2,0.4
Camden - Highgate,00AGGN,E05000137,11150,1850,16.4,3.2,3484.4,5.3,13.5,70.4,650000,47840,12.6,81,65.2,0.7
Camden - Holborn and Covent Garden,00AGGP,E05000138,13700,1750,12.7,1.2,11250,9,25.5,61.9,685000,40180,12.9,311,7.5,0.3
Camden - Kentish Town,00AGGQ,E05000139,13850,2150,15.4,1,13750,6.5,19.3,71.3,630100,41230,13.6,89,5.3,0.4
Camden - Kilburn,00AGGR,E05000140,12350,2200,17.7,0.7,17500,13.4,22.1,66.8,468000,34730,17.4,110.7,13.4,0.4
Camden - King's Cross,00AGGS,E05000141,12550,1600,12.8,0.6,20833.3,10.9,21.2,46.1,625000,32890,12.1,122.4,13.5,0.2
Camden - Regent's Park,00AGGT,E05000142,14700,2200,14.8,1.3,10961.5,12.6,26.1,54.4,600000,34260,17.5,131.3,27,0.4
Camden - St. Pancras and Somers Town,00AGGU,E05000143,16200,2850,17.7,1.4,10785.7,12.3,24.5,53,465000,30500,22.7,93.5,13.6,0.3
Camden - Swiss Cottage,00AGGW,E05000144,13200,2200,16.8,1.3,10076.9,13.8,22.2,72.3,740500,50340,9,70,14.5,0.6
Camden - West Hampstead,00AGGX,E05000145,12550,1650,13.1,0.9,13722.2,6.1,16,76.2,622500,46290,9.5,77.6,9.4,0.5
Croydon - Addiscombe,00AHGE,E05000146,17750,3550,19.9,1.6,10843.8,10.3,21.6,74.1,250000,38070,15.3,61,2.3,0.7
Croydon - Ashburton,00AHGF,E05000147,15150,2950,19.5,2.7,5555.6,11.5,23.2,71.7,347000,38600,19.5,58.1,22.2,1.1
Croydon - Bensham Manor,00AHGG,E05000148,16600,4000,24.1,1.4,11750,13.2,24.4,67.5,246250,33530,17.9,64.4,7.8,0.8
Croydon - Broad Green,00AHGH,E05000149,20050,5300,26.4,2.7,7185.2,11.5,25.5,64.6,231000,31000,20.2,151.3,4.6,0.7
Croydon - Coulsdon East,00AHGJ,E05000150,12700,2350,18.4,7.7,1629.9,9.4,17.4,73.9,375000,42660,18.2,34.9,56.8,1.4
Croydon - Coulsdon West,00AHGK,E05000151,14150,2600,18.4,5,2770,9.6,19.7,75.5,361000,46610,15.1,46.7,17.1,1.5
Croydon - Croham,00AHGL,E05000152,16200,3250,20.2,3.5,4614.3,8.9,19.1,76.5,250000,42260,12,57.3,19.1,1
Croydon - Fairfield,00AHGM,E05000153,21750,4200,19.2,3.8,5065.8,10.2,24.8,73.1,236000,39130,12.3,215.9,17.5,0.6
Croydon - Fieldway,00AHGN,E05000154,11850,3500,29.6,1.5,7800,13.9,24.6,58.5,220000,26720,34.4,61.8,22.9,0.8
Croydon - Heathfield,00AHGP,E05000155,13600,2450,18.2,8.7,1551.7,10.6,17.8,74.3,260000,39770,17.2,70.7,61.3,1.3
Croydon - Kenley,00AHGQ,E05000156,15650,3250,20.9,6.5,2369.2,4.5,14.7,75,340000,44160,14.6,35.9,39.6,1.3
Croydon - New Addington,00AHGR,E05000157,11250,2750,24.6,2.4,4604.2,11.3,27.8,64.4,245000,28770,34.8,70,31.2,1
Croydon - Norbury,00AHGS,E05000158,17100,3550,20.8,2.5,6740,11.2,23.5,69.5,350000,36810,16.2,54.2,15.8,1
Croydon - Purley,00AHGT,E05000159,15550,3050,19.7,4.2,3607.1,8.1,16.9,74.1,320000,44600,12.9,78.1,3.8,1.2
